id,failure
27366,0.479
27367,0.483
27368,0.645
27369,0.45
27370,0.566
27371,0.442
27372,0.604
27373,0.53
27374,0.57
27375,0.576
27376,0.477
27377,0.407
27378,0.546
27379,0.456
27380,0.521
27381,0.471
27382,0.441
27383,0.436
27384,0.526
27385,0.402
27386,0.517
27387,0.468
27388,0.468
27389,0.537
27390,0.485
27391,0.518
27392,0.534
27393,0.655
27394,0.48
27395,0.539
27396,0.557
27397,0.451
27398,0.546
27399,0.524
27400,0.499
27401,0.561
27402,0.512
27403,0.462
27404,0.799
27405,0.595
27406,0.548
27407,0.557
27408,0.433
27409,0.439
27410,0.41
27411,0.402
27412,0.495
27413,0.624
27414,0.483
27415,0.569
27416,0.47
27417,0.419
27418,0.528
27419,0.566
27420,0.627
27421,0.426
27422,0.552
27423,0.393
27424,0.383
27425,0.475
27426,0.466
27427,0.567
27428,0.565
27429,0.545
27430,0.444
27431,0.554
27432,0.473
27433,0.515
27434,0.595
27435,0.504
27436,0.447
27437,0.511
27438,0.415
27439,0.448
27440,0.466
27441,0.436
27442,0.531
27443,0.466
27444,0.59
27445,0.495
27446,0.504
27447,0.549
27448,0.497
27449,0.51
27450,0.59
27451,0.435
27452,0.536
27453,0.544
27454,0.48
27455,0.489
27456,0.419
27457,0.48
27458,0.383
27459,0.653
27460,0.503
27461,0.466
27462,0.475
27463,0.433
27464,0.5
27465,0.435
27466,0.569
27467,0.497
27468,0.546
27469,0.627
27470,0.406
27471,0.398
27472,0.466
27473,0.44
27474,0.545
27475,0.526
27476,0.496
27477,0.663
27478,0.503
27479,0.677
27480,0.466
27481,0.581
27482,0.506
27483,0.458
27484,0.55
27485,0.555
27486,0.603
27487,0.461
27488,0.412
27489,0.397
27490,0.492
27491,0.563
27492,0.429
27493,0.522
27494,0.552
27495,0.469
27496,0.556
27497,0.613
27498,0.477
27499,0.423
27500,0.543
27501,0.585
27502,0.6
27503,0.466
27504,0.503
27505,0.434
27506,0.451
27507,0.563
27508,0.593
27509,0.447
27510,0.411
27511,0.446
27512,0.534
27513,0.498
27514,0.505
27515,0.542
27516,0.444
27517,0.453
27518,0.467
27519,0.586
27520,0.454
27521,0.457
27522,0.431
27523,0.509
27524,0.51
27525,0.575
27526,0.516
27527,0.715
27528,0.552
27529,0.493
27530,0.392
27531,0.569
27532,0.491
27533,0.519
27534,0.472
27535,0.488
27536,0.512
27537,0.495
27538,0.417
27539,0.607
27540,0.47
27541,0.458
27542,0.433
27543,0.606
27544,0.53
27545,0.482
27546,0.772
27547,0.611
27548,0.65
27549,0.461
27550,0.559
27551,0.441
27552,0.556
27553,0.53
27554,0.444
27555,0.484
27556,0.504
27557,0.573
27558,0.399
27559,0.654
27560,0.519
27561,0.691
27562,0.517
27563,0.565
27564,0.645
27565,0.553
27566,0.441
27567,0.448
27568,0.673
27569,0.481
27570,0.676
27571,0.446
27572,0.491
27573,0.563
27574,0.67
27575,0.647
27576,0.531
27577,0.503
27578,0.631
27579,0.504
27580,0.484
27581,0.483
27582,0.467
27583,0.479
27584,0.483
27585,0.567
27586,0.512
27587,0.616
27588,0.569
27589,0.463
27590,0.451
27591,0.492
27592,0.457
27593,0.552
27594,0.474
27595,0.487
27596,0.489
27597,0.409
27598,0.588
27599,0.582
27600,0.574
27601,0.503
27602,0.445
27603,0.621
27604,0.568
27605,0.431
27606,0.498
27607,0.56
27608,0.532
27609,0.392
27610,0.512
27611,0.509
27612,0.508
27613,0.517
27614,0.667
27615,0.364
27616,0.534
27617,0.47
27618,0.455
27619,0.478
27620,0.484
27621,0.463
27622,0.576
27623,0.445
27624,0.418
27625,0.552
27626,0.432
27627,0.521
27628,0.555
27629,0.536
27630,0.524
27631,0.395
27632,0.549
27633,0.483
27634,0.751
27635,0.489
27636,0.598
27637,0.569
27638,0.466
27639,0.502
27640,0.568
27641,0.377
27642,0.439
27643,0.546
27644,0.475
27645,0.504
27646,0.554
27647,0.614
27648,0.423
27649,0.479
27650,0.504
27651,0.461
27652,0.471
27653,0.522
27654,0.498
27655,0.564
27656,0.539
27657,0.535
27658,0.59
27659,0.443
27660,0.452
27661,0.555
27662,0.55
27663,0.458
27664,0.449
27665,0.496
27666,0.528
27667,0.526
27668,0.385
27669,0.402
27670,0.443
27671,0.559
27672,0.55
27673,0.421
27674,0.535
27675,0.488
27676,0.533
27677,0.504
27678,0.502
27679,0.438
27680,0.645
27681,0.464
27682,0.538
27683,0.535
27684,0.474
27685,0.478
27686,0.438
27687,0.449
27688,0.465
27689,0.413
27690,0.397
27691,0.706
27692,0.515
27693,0.599
27694,0.526
27695,0.469
27696,0.623
27697,0.644
27698,0.394
27699,0.472
27700,0.542
27701,0.406
27702,0.469
27703,0.463
27704,0.592
27705,0.515
27706,0.399
27707,0.509
27708,0.468
27709,0.493
27710,0.449
27711,0.648
27712,0.458
27713,0.527
27714,0.547
27715,0.461
27716,0.64
27717,0.45
27718,0.455
27719,0.46
27720,0.42
27721,0.421
27722,0.502
27723,0.491
27724,0.71
27725,0.45
27726,0.507
27727,0.434
27728,0.385
27729,0.406
27730,0.527
27731,0.404
27732,0.468
27733,0.55
27734,0.5
27735,0.592
27736,0.643
27737,0.636
27738,0.441
27739,0.56
27740,0.456
27741,0.467
27742,0.511
27743,0.564
27744,0.579
27745,0.502
27746,0.479
27747,0.449
27748,0.539
27749,0.453
27750,0.532
27751,0.431
27752,0.524
27753,0.466
27754,0.448
27755,0.616
27756,0.423
27757,0.493
27758,0.496
27759,0.474
27760,0.629
27761,0.414
27762,0.503
27763,0.477
27764,0.434
27765,0.587
27766,0.504
27767,0.554
27768,0.523
27769,0.491
27770,0.588
27771,0.428
27772,0.5
27773,0.511
27774,0.514
27775,0.441
27776,0.509
27777,0.697
27778,0.472
27779,0.578
27780,0.409
27781,0.612
27782,0.448
27783,0.609
27784,0.436
27785,0.533
27786,0.603
27787,0.527
27788,0.524
27789,0.51
27790,0.576
27791,0.477
27792,0.618
27793,0.392
27794,0.483
27795,0.674
27796,0.503
27797,0.499
27798,0.401
27799,0.562
27800,0.505
27801,0.538
27802,0.525
27803,0.591
27804,0.544
27805,0.586
27806,0.747
27807,0.446
27808,0.63
27809,0.593
27810,0.487
27811,0.539
27812,0.681
27813,0.426
27814,0.424
27815,0.507
27816,0.515
27817,0.435
27818,0.441
27819,0.485
27820,0.764
27821,0.402
27822,0.544
27823,0.435
27824,0.722
27825,0.556
27826,0.413
27827,0.556
27828,0.501
27829,0.447
27830,0.589
27831,0.632
27832,0.45
27833,0.421
27834,0.51
27835,0.434
27836,0.478
27837,0.476
27838,0.456
27839,0.582
27840,0.502
27841,0.579
27842,0.498
27843,0.454
27844,0.451
27845,0.535
27846,0.605
27847,0.529
27848,0.596
27849,0.466
27850,0.558
27851,0.7
27852,0.388
27853,0.494
27854,0.484
27855,0.472
27856,0.401
27857,0.545
27858,0.422
27859,0.424
27860,0.507
27861,0.396
27862,0.451
27863,0.581
27864,0.495
27865,0.427
27866,0.428
27867,0.445
27868,0.613
27869,0.494
27870,0.503
27871,0.621
27872,0.417
27873,0.494
27874,0.53
27875,0.658
27876,0.484
27877,0.475
27878,0.44
27879,0.46
27880,0.456
27881,0.408
27882,0.559
27883,0.497
27884,0.52
27885,0.64
27886,0.492
27887,0.434
27888,0.814
27889,0.53
27890,0.584
27891,0.429
27892,0.492
27893,0.633
27894,0.46
27895,0.44
27896,0.561
27897,0.565
27898,0.629
27899,0.66
27900,0.418
27901,0.443
27902,0.418
27903,0.565
27904,0.408
27905,0.479
27906,0.434
27907,0.491
27908,0.488
27909,0.511
27910,0.472
27911,0.572
27912,0.402
27913,0.401
27914,0.496
27915,0.441
27916,0.434
27917,0.492
27918,0.488
27919,0.708
27920,0.508
27921,0.531
27922,0.46
27923,0.425
27924,0.496
27925,0.393
27926,0.443
27927,0.411
27928,0.405
27929,0.54
27930,0.45
27931,0.614
27932,0.503
27933,0.505
27934,0.578
27935,0.485
27936,0.467
27937,0.551
27938,0.565
27939,0.479
27940,0.425
27941,0.605
27942,0.453
27943,0.415
27944,0.709
27945,0.426
27946,0.547
27947,0.476
27948,0.452
27949,0.496
27950,0.726
27951,0.518
27952,0.565
27953,0.445
27954,0.375
27955,0.475
27956,0.435
27957,0.465
27958,0.407
27959,0.514
27960,0.617
27961,0.467
27962,0.635
27963,0.463
27964,0.536
27965,0.432
27966,0.617
27967,0.59
27968,0.473
27969,0.524
27970,0.542
27971,0.446
27972,0.538
27973,0.427
27974,0.62
27975,0.572
27976,0.68
27977,0.4
27978,0.354
27979,0.796
27980,0.494
27981,0.49
27982,0.675
27983,0.461
27984,0.481
27985,0.441
27986,0.519
27987,0.364
27988,0.546
27989,0.611
27990,0.472
27991,0.534
27992,0.438
27993,0.43
27994,0.48
27995,0.693
27996,0.508
27997,0.482
27998,0.414
27999,0.481
28000,0.447
28001,0.543
28002,0.55
28003,0.496
28004,0.538
28005,0.435
28006,0.532
28007,0.583
28008,0.526
28009,0.505
28010,0.646
28011,0.555
28012,0.52
28013,0.453
28014,0.439
28015,0.49
28016,0.57
28017,0.512
28018,0.433
28019,0.429
28020,0.506
28021,0.477
28022,0.536
28023,0.485
28024,0.531
28025,0.619
28026,0.531
28027,0.414
28028,0.535
28029,0.498
28030,0.478
28031,0.417
28032,0.504
28033,0.392
28034,0.414
28035,0.478
28036,0.463
28037,0.464
28038,0.503
28039,0.476
28040,0.539
28041,0.52
28042,0.468
28043,0.593
28044,0.481
28045,0.539
28046,0.479
28047,0.467
28048,0.534
28049,0.563
28050,0.607
28051,0.693
28052,0.494
28053,0.475
28054,0.446
28055,0.478
28056,0.507
28057,0.502
28058,0.415
28059,0.477
28060,0.468
28061,0.484
28062,0.589
28063,0.632
28064,0.464
28065,0.556
28066,0.357
28067,0.589
28068,0.501
28069,0.548
28070,0.457
28071,0.426
28072,0.425
28073,0.506
28074,0.485
28075,0.456
28076,0.611
28077,0.411
28078,0.643
28079,0.506
28080,0.516
28081,0.5
28082,0.539
28083,0.471
28084,0.552
28085,0.399
28086,0.49
28087,0.42
28088,0.486
28089,0.474
28090,0.533
28091,0.463
28092,0.6
28093,0.549
28094,0.496
28095,0.523
28096,0.422
28097,0.467
28098,0.572
28099,0.458
28100,0.426
28101,0.603
28102,0.501
28103,0.534
28104,0.642
28105,0.43
28106,0.588
28107,0.543
28108,0.604
28109,0.383
28110,0.429
28111,0.528
28112,0.42
28113,0.643
28114,0.496
28115,0.471
28116,0.542
28117,0.515
28118,0.724
28119,0.6
28120,0.491
28121,0.714
28122,0.403
28123,0.534
28124,0.455
28125,0.532
28126,0.366
28127,0.427
28128,0.534
28129,0.488
28130,0.431
28131,0.432
28132,0.603
28133,0.554
28134,0.512
28135,0.602
28136,0.573
28137,0.503
28138,0.457
28139,0.569
28140,0.572
28141,0.515
28142,0.559
28143,0.444
28144,0.553
28145,0.469
28146,0.495
28147,0.701
28148,0.536
28149,0.473
28150,0.48
28151,0.606
28152,0.538
28153,0.379
28154,0.459
28155,0.474
28156,0.568
28157,0.678
28158,0.64
28159,0.453
28160,0.474
28161,0.482
28162,0.55
28163,0.518
28164,0.428
28165,0.536
28166,0.564
28167,0.392
28168,0.644
28169,0.469
28170,0.455
28171,0.439
28172,0.407
28173,0.514
28174,0.498
28175,0.434
28176,0.473
28177,0.485
28178,0.458
28179,0.478
28180,0.391
28181,0.593
28182,0.481
28183,0.617
28184,0.479
28185,0.578
28186,0.433
28187,0.423
28188,0.475
28189,0.463
28190,0.521
28191,0.513
28192,0.499
28193,0.503
28194,0.482
28195,0.569
28196,0.476
28197,0.424
28198,0.401
28199,0.623
28200,0.438
28201,0.667
28202,0.546
28203,0.497
28204,0.515
28205,0.413
28206,0.422
28207,0.455
28208,0.488
28209,0.621
28210,0.434
28211,0.515
28212,0.583
28213,0.457
28214,0.412
28215,0.42
28216,0.59
28217,0.533
28218,0.52
28219,0.449
28220,0.493
28221,0.614
28222,0.496
28223,0.54
28224,0.477
28225,0.509
28226,0.522
28227,0.614
28228,0.483
28229,0.519
28230,0.603
28231,0.571
28232,0.508
28233,0.405
28234,0.487
28235,0.442
28236,0.476
28237,0.685
28238,0.528
28239,0.636
28240,0.44
28241,0.527
28242,0.617
28243,0.593
28244,0.484
28245,0.364
28246,0.509
28247,0.519
28248,0.481
28249,0.577
28250,0.574
28251,0.55
28252,0.53
28253,0.538
28254,0.481
28255,0.475
28256,0.449
28257,0.52
28258,0.464
28259,0.5
28260,0.458
28261,0.615
28262,0.532
28263,0.42
28264,0.543
28265,0.601
28266,0.414
28267,0.414
28268,0.574
28269,0.573
28270,0.545
28271,0.463
28272,0.519
28273,0.586
28274,0.638
28275,0.606
28276,0.566
28277,0.438
28278,0.522
28279,0.502
28280,0.487
28281,0.554
28282,0.503
28283,0.494
28284,0.612
28285,0.462
28286,0.485
28287,0.599
28288,0.525
28289,0.538
28290,0.491
28291,0.566
28292,0.518
28293,0.525
28294,0.461
28295,0.539
28296,0.53
28297,0.375
28298,0.552
28299,0.518
28300,0.578
28301,0.458
28302,0.468
28303,0.63
28304,0.543
28305,0.451
28306,0.524
28307,0.518
28308,0.537
28309,0.592
28310,0.515
28311,0.58
28312,0.622
28313,0.392
28314,0.52
28315,0.457
28316,0.504
28317,0.497
28318,0.44
28319,0.54
28320,0.494
28321,0.521
28322,0.461
28323,0.496
28324,0.518
28325,0.513
28326,0.416
28327,0.561
28328,0.42
28329,0.501
28330,0.461
28331,0.453
28332,0.568
28333,0.521
28334,0.752
28335,0.482
28336,0.458
28337,0.661
28338,0.547
28339,0.6
28340,0.519
28341,0.555
28342,0.581
28343,0.471
28344,0.502
28345,0.473
28346,0.521
28347,0.52
28348,0.41
28349,0.515
28350,0.422
28351,0.467
28352,0.586
28353,0.623
28354,0.499
28355,0.424
28356,0.487
28357,0.451
28358,0.529
28359,0.512
28360,0.551
28361,0.616
28362,0.416
28363,0.495
28364,0.504
28365,0.448
28366,0.701
28367,0.525
28368,0.581
28369,0.628
28370,0.481
28371,0.483
28372,0.6
28373,0.511
28374,0.68
28375,0.508
28376,0.471
28377,0.473
28378,0.475
28379,0.556
28380,0.529
28381,0.569
28382,0.438
28383,0.499
28384,0.496
28385,0.447
28386,0.598
28387,0.506
28388,0.55
28389,0.439
28390,0.528
28391,0.551
28392,0.475
28393,0.385
28394,0.499
28395,0.427
28396,0.548
28397,0.512
28398,0.619
28399,0.49
28400,0.504
28401,0.513
28402,0.482
28403,0.521
28404,0.493
28405,0.573
28406,0.627
28407,0.469
28408,0.469
28409,0.505
28410,0.38
28411,0.431
28412,0.549
28413,0.547
28414,0.526
28415,0.471
28416,0.531
28417,0.544
28418,0.352
28419,0.528
28420,0.478
28421,0.47
28422,0.635
28423,0.499
28424,0.562
28425,0.506
28426,0.475
28427,0.529
28428,0.439
28429,0.613
28430,0.466
28431,0.535
28432,0.538
28433,0.575
28434,0.487
28435,0.426
28436,0.54
28437,0.511
28438,0.586
28439,0.421
28440,0.555
28441,0.412
28442,0.402
28443,0.424
28444,0.415
28445,0.549
28446,0.588
28447,0.525
28448,0.507
28449,0.62
28450,0.592
28451,0.39
28452,0.556
28453,0.442
28454,0.408
28455,0.449
28456,0.613
28457,0.565
28458,0.539
28459,0.752
28460,0.503
28461,0.515
28462,0.558
28463,0.517
28464,0.574
28465,0.565
28466,0.794
28467,0.538
28468,0.613
28469,0.623
28470,0.444
28471,0.555
28472,0.46
28473,0.472
28474,0.429
28475,0.545
28476,0.444
28477,0.546
28478,0.598
28479,0.442
28480,0.505
28481,0.521
28482,0.439
28483,0.558
28484,0.616
28485,0.431
28486,0.641
28487,0.52
28488,0.454
28489,0.387
28490,0.376
28491,0.483
28492,0.439
28493,0.599
28494,0.452
28495,0.468
28496,0.599
28497,0.449
28498,0.45
28499,0.534
28500,0.504
28501,0.581
28502,0.492
28503,0.441
28504,0.441
28505,0.51
28506,0.528
28507,0.49
28508,0.624
28509,0.41
28510,0.454
28511,0.599
28512,0.457
28513,0.431
28514,0.469
28515,0.503
28516,0.556
28517,0.397
28518,0.544
28519,0.443
28520,0.516
28521,0.528
28522,0.488
28523,0.541
28524,0.443
28525,0.529
28526,0.462
28527,0.456
28528,0.477
28529,0.597
28530,0.614
28531,0.464
28532,0.537
28533,0.414
28534,0.514
28535,0.647
28536,0.463
28537,0.556
28538,0.434
28539,0.632
28540,0.599
28541,0.458
28542,0.515
28543,0.525
28544,0.406
28545,0.573
28546,0.513
28547,0.552
28548,0.445
28549,0.666
28550,0.47
28551,0.498
28552,0.541
28553,0.407
28554,0.482
28555,0.519
28556,0.47
28557,0.439
28558,0.516
28559,0.504
28560,0.408
28561,0.566
28562,0.557
28563,0.639
28564,0.497
28565,0.471
28566,0.556
28567,0.431
